V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
ENSG00000003989	ENSG00000017483	ENSG00000092068	ENSG00000103064	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000139209	ENSG00000139514	ENSG00000149150	ENSG00000155465	ENSG00000165349	ENSG00000167703	ENSG00000188338	ENSG00000196517	ENSG00000268104		
ENSG00000003989	ENSG00000017483	ENSG00000103064	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000139209	ENSG00000139514	ENSG00000149150	ENSG00000155465	ENSG00000165349	ENSG00000167703	ENSG00000168003	ENSG00000188338	ENSG00000196517	ENSG00000268104		
ENSG00000003989	ENSG00000017483	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000138079	ENSG00000139209	ENSG00000139514	ENSG00000149150	ENSG00000155465	ENSG00000164363	ENSG00000165349	ENSG00000167703	ENSG00000168003	ENSG00000188338	ENSG00000196517	ENSG00000197375	ENSG00000268104
ENSG00000003989	ENSG00000017483	ENSG00000021488	ENSG00000092068	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000139209	ENSG00000139514	ENSG00000147003	ENSG00000149150	ENSG00000155465	ENSG00000165349	ENSG00000167703	ENSG00000188338	ENSG00000196517	ENSG00000197375	ENSG00000268104
ENSG00000003989	ENSG00000017483	ENSG00000021488	ENSG00000092068	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000139209	ENSG00000139514	ENSG00000149150	ENSG00000155465	ENSG00000164363	ENSG00000165349	ENSG00000167703	ENSG00000188338	ENSG00000196517	ENSG00000197375	ENSG00000268104
ENSG00000003989	ENSG00000017483	ENSG00000092068	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000138079	ENSG00000139209	ENSG00000139514	ENSG00000147003	ENSG00000149150	ENSG00000155465	ENSG00000165349	ENSG00000167703	ENSG00000188338	ENSG00000196517	ENSG00000197375	ENSG00000268104
ENSG00000003989	ENSG00000017483	ENSG00000092068	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000138079	ENSG00000139209	ENSG00000139514	ENSG00000149150	ENSG00000155465	ENSG00000164363	ENSG00000165349	ENSG00000167703	ENSG00000188338	ENSG00000196517	ENSG00000197375	ENSG00000268104
ENSG00000003989	ENSG00000017483	ENSG00000021488	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000139209	ENSG00000139514	ENSG00000149150	ENSG00000155465	ENSG00000164363	ENSG00000165349	ENSG00000167703	ENSG00000168003	ENSG00000188338	ENSG00000196517	ENSG00000197375	ENSG00000268104
ENSG00000003989	ENSG00000017483	ENSG00000021488	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000139209	ENSG00000139514	ENSG00000147003	ENSG00000149150	ENSG00000155465	ENSG00000165349	ENSG00000167703	ENSG00000168003	ENSG00000188338	ENSG00000196517	ENSG00000197375	ENSG00000268104
ENSG00000003989	ENSG00000017483	ENSG00000103257	ENSG00000123643	ENSG00000134294	ENSG00000138079	ENSG00000139209	ENSG00000139514	ENSG00000147003	ENSG00000149150	ENSG00000155465	ENSG00000165349	ENSG00000167703	ENSG00000168003	ENSG00000188338	ENSG00000196517	ENSG00000197375	ENSG00000268104
