V1	V2	V3	V4
ENSG00000091140	ENSG00000154723		
ENSG00000091140	ENSG00000167283		
ENSG00000091140	ENSG00000110955		
ENSG00000091140	ENSG00000241837		
ENSG00000091140	ENSG00000169020		
ENSG00000091140	ENSG00000135390		
ENSG00000091140	ENSG00000152234		
ENSG00000091140	ENSG00000124172		
ENSG00000091140	ENSG00000156411		
ENSG00000091140	ENSG00000241468		
ENSG00000091140	ENSG00000116459		
ENSG00000091140	ENSG00000165629		
ENSG00000091140	ENSG00000167863		
ENSG00000091140	ENSG00000173915		
ENSG00000091140	ENSG00000228253		
ENSG00000091140	ENSG00000154518		
ENSG00000091140	ENSG00000198899		
ENSG00000091140	ENSG00000159199		
ENSG00000091140	ENSG00000099624		
ENSG00000007350	ENSG00000151005	ENSG00000163931	
ENSG00000138030	ENSG00000153574	ENSG00000177156	
ENSG00000093217	ENSG00000153574	ENSG00000177156	
ENSG00000023697	ENSG00000138030	ENSG00000153574	
ENSG00000023697	ENSG00000093217	ENSG00000153574	
ENSG00000099624	ENSG00000150768	ENSG00000204370	
ENSG00000099624	ENSG00000168291	ENSG00000204370	
ENSG00000099624	ENSG00000150768	ENSG00000163541	
ENSG00000110955	ENSG00000130649	ENSG00000143252	
ENSG00000130649	ENSG00000204370	ENSG00000241837	
ENSG00000110955	ENSG00000143252	ENSG00000168291	
ENSG00000091140	ENSG00000151366	ENSG00000187581	
ENSG00000091483	ENSG00000150768	ENSG00000154518	
ENSG00000091483	ENSG00000150768	ENSG00000165629	
ENSG00000091140	ENSG00000128609	ENSG00000161281	
ENSG00000143252	ENSG00000165629	ENSG00000168291	
ENSG00000091140	ENSG00000131143	ENSG00000189043	
ENSG00000091140	ENSG00000130414	ENSG00000187581	
ENSG00000119711	ENSG00000165629	ENSG00000168291	
ENSG00000091483	ENSG00000168291	ENSG00000241837	
ENSG00000073578	ENSG00000165629	ENSG00000168291	
ENSG00000116459	ENSG00000168291	ENSG00000173599	
ENSG00000091483	ENSG00000116459	ENSG00000168291	
ENSG00000062485	ENSG00000116459	ENSG00000168291	
ENSG00000116459	ENSG00000168291	ENSG00000183044	
ENSG00000116459	ENSG00000119711	ENSG00000168291	
ENSG00000099624	ENSG00000150768	ENSG00000173599	
ENSG00000099624	ENSG00000168291	ENSG00000173599	
ENSG00000168291	ENSG00000169020	ENSG00000173599	
ENSG00000117118	ENSG00000168291	ENSG00000169020	
ENSG00000117118	ENSG00000150768	ENSG00000169020	
ENSG00000150768	ENSG00000163541	ENSG00000165629	
ENSG00000150768	ENSG00000169020	ENSG00000173599	
ENSG00000062485	ENSG00000150768	ENSG00000165629	
ENSG00000091140	ENSG00000126267	ENSG00000198786	
ENSG00000062485	ENSG00000124172	ENSG00000150768	
ENSG00000110955	ENSG00000130649	ENSG00000204370	
ENSG00000130649	ENSG00000167283	ENSG00000204370	
ENSG00000117118	ENSG00000152234	ENSG00000168291	
ENSG00000105220	ENSG00000140263	ENSG00000142657	
ENSG00000119689	ENSG00000124172	ENSG00000168291	
ENSG00000073578	ENSG00000130649	ENSG00000173915	
ENSG00000124172	ENSG00000168291	ENSG00000204370	
ENSG00000119689	ENSG00000150768	ENSG00000198899	
ENSG00000073578	ENSG00000130649	ENSG00000152234	
ENSG00000091483	ENSG00000130649	ENSG00000228253	
ENSG00000119689	ENSG00000150768	ENSG00000228253	
ENSG00000119689	ENSG00000150768	ENSG00000241837	
ENSG00000117118	ENSG00000150768	ENSG00000241837	
ENSG00000117118	ENSG00000150768	ENSG00000156411	
ENSG00000117118	ENSG00000124172	ENSG00000130649	
ENSG00000117118	ENSG00000135390	ENSG00000150768	
ENSG00000117118	ENSG00000130649	ENSG00000135390	
ENSG00000119711	ENSG00000159199	ENSG00000168291	
ENSG00000062485	ENSG00000130649	ENSG00000135390	
ENSG00000116459	ENSG00000150768	ENSG00000183044	
ENSG00000091140	ENSG00000147123	ENSG00000161281	
ENSG00000091140	ENSG00000128609	ENSG00000156885	
ENSG00000091140	ENSG00000139180	ENSG00000187581	
ENSG00000167863	ENSG00000168291	ENSG00000173599	
ENSG00000150768	ENSG00000163541	ENSG00000228253	
ENSG00000091140	ENSG00000131055	ENSG00000136521	
ENSG00000091140	ENSG00000128609	ENSG00000176340	
ENSG00000150768	ENSG00000163541	ENSG00000241837	
ENSG00000124172	ENSG00000150768	ENSG00000163541	
ENSG00000023228	ENSG00000091140	ENSG00000156885	
ENSG00000119711	ENSG00000154723	ENSG00000168291	
ENSG00000091140	ENSG00000156885	ENSG00000174886	
ENSG00000119711	ENSG00000168291	ENSG00000228253	
ENSG00000119711	ENSG00000150768	ENSG00000154723	
ENSG00000091140	ENSG00000135940	ENSG00000189043	
ENSG00000116459	ENSG00000150768	ENSG00000163541	
ENSG00000116459	ENSG00000117118	ENSG00000150768	
ENSG00000091140	ENSG00000145494	ENSG00000176340	
ENSG00000116459	ENSG00000163541	ENSG00000168291	
ENSG00000119711	ENSG00000168291	ENSG00000241837	
ENSG00000062485	ENSG00000168291	ENSG00000241837	
ENSG00000091483	ENSG00000116459	ENSG00000150768	
ENSG00000110955	ENSG00000150768	ENSG00000163541	
ENSG00000091483	ENSG00000168291	ENSG00000228253	
ENSG00000163541	ENSG00000165629	ENSG00000168291	
ENSG00000091483	ENSG00000156411	ENSG00000168291	
ENSG00000152234	ENSG00000163541	ENSG00000168291	
ENSG00000062485	ENSG00000099624	ENSG00000168291	
ENSG00000124172	ENSG00000163541	ENSG00000168291	
ENSG00000117118	ENSG00000150768	ENSG00000152234	
ENSG00000150768	ENSG00000152234	ENSG00000183044	
ENSG00000062485	ENSG00000150768	ENSG00000152234	
ENSG00000091483	ENSG00000150768	ENSG00000152234	
ENSG00000091483	ENSG00000110955	ENSG00000150768	
ENSG00000073578	ENSG00000150768	ENSG00000152234	
ENSG00000091483	ENSG00000150768	ENSG00000198899	
ENSG00000110955	ENSG00000117118	ENSG00000150768	
ENSG00000091140	ENSG00000170906	ENSG00000176340	
ENSG00000150768	ENSG00000163541	ENSG00000241468	
ENSG00000163541	ENSG00000168291	ENSG00000173915	
ENSG00000150768	ENSG00000163541	ENSG00000173915	
ENSG00000150768	ENSG00000167283	ENSG00000173599	
ENSG00000099624	ENSG00000117118	ENSG00000150768	
ENSG00000117118	ENSG00000124172	ENSG00000150768	
ENSG00000150768	ENSG00000165629	ENSG00000173599	
ENSG00000091483	ENSG00000099624	ENSG00000130649	
ENSG00000117118	ENSG00000150768	ENSG00000167863	
ENSG00000119711	ENSG00000150768	ENSG00000165629	
ENSG00000117118	ENSG00000150768	ENSG00000165629	
ENSG00000091140	ENSG00000130414	ENSG00000176340	
ENSG00000062485	ENSG00000110955	ENSG00000130649	
ENSG00000150768	ENSG00000165629	ENSG00000204370	
ENSG00000150768	ENSG00000152234	ENSG00000204370	
ENSG00000117118	ENSG00000130649	ENSG00000165629	
ENSG00000150768	ENSG00000165629	ENSG00000183044	
ENSG00000091140	ENSG00000156885	ENSG00000198695	
ENSG00000099624	ENSG00000150768	ENSG00000183044	
ENSG00000062485	ENSG00000135390	ENSG00000150768	
ENSG00000091483	ENSG00000099624	ENSG00000150768	
ENSG00000119711	ENSG00000150768	ENSG00000173915	
ENSG00000099624	ENSG00000119711	ENSG00000150768	
ENSG00000091140	ENSG00000170516	ENSG00000213619	
ENSG00000091140	ENSG00000139180	ENSG00000198804	
ENSG00000130649	ENSG00000152234	ENSG00000204370	
ENSG00000091483	ENSG00000150768	ENSG00000173915	
ENSG00000110955	ENSG00000150768	ENSG00000173599	
ENSG00000091483	ENSG00000150768	ENSG00000156411	
ENSG00000099624	ENSG00000119689	ENSG00000150768	
ENSG00000073578	ENSG00000099624	ENSG00000150768	
ENSG00000099624	ENSG00000119689	ENSG00000168291	
ENSG00000091140	ENSG00000128609	ENSG00000160471	
ENSG00000119689	ENSG00000150768	ENSG00000241468	
ENSG00000062485	ENSG00000099624	ENSG00000150768	
ENSG00000091483	ENSG00000165629	ENSG00000168291	
ENSG00000073578	ENSG00000099624	ENSG00000130649	
ENSG00000073578	ENSG00000150768	ENSG00000165629	
ENSG00000165629	ENSG00000168291	ENSG00000183044	
ENSG00000091140	ENSG00000170516	ENSG00000186010	
ENSG00000110955	ENSG00000168291	ENSG00000183044	
ENSG00000168291	ENSG00000173915	ENSG00000183044	
ENSG00000091483	ENSG00000124172	ENSG00000150768	
ENSG00000168291	ENSG00000169020	ENSG00000183044	
ENSG00000091140	ENSG00000131143	ENSG00000140990	
ENSG00000073578	ENSG00000130649	ENSG00000135390	
ENSG00000110955	ENSG00000168291	ENSG00000173599	
ENSG00000091483	ENSG00000150768	ENSG00000241837	
ENSG00000124172	ENSG00000150768	ENSG00000173599	
ENSG00000130649	ENSG00000135390	ENSG00000143252	
ENSG00000091140	ENSG00000145494	ENSG00000187581	
ENSG00000124172	ENSG00000150768	ENSG00000204370	
ENSG00000091483	ENSG00000110955	ENSG00000130649	
ENSG00000062485	ENSG00000124172	ENSG00000130649	
ENSG00000062485	ENSG00000099624	ENSG00000130649	
ENSG00000099624	ENSG00000130649	ENSG00000143252	
ENSG00000163541	ENSG00000168291	ENSG00000169020	
ENSG00000091483	ENSG00000130649	ENSG00000135390	
ENSG00000130649	ENSG00000135390	ENSG00000204370	
ENSG00000073578	ENSG00000168291	ENSG00000169020	
ENSG00000062485	ENSG00000116459	ENSG00000130649	
ENSG00000091483	ENSG00000130649	ENSG00000156411	
ENSG00000110955	ENSG00000117118	ENSG00000168291	
ENSG00000130649	ENSG00000198899	ENSG00000204370	
ENSG00000091140	ENSG00000115286	ENSG00000176340	
ENSG00000091483	ENSG00000110955	ENSG00000168291	
ENSG00000091140	ENSG00000110717	ENSG00000187581	
ENSG00000091140	ENSG00000125356	ENSG00000170516	
ENSG00000154518	ENSG00000163541	ENSG00000168291	
ENSG00000150768	ENSG00000204370	ENSG00000241468	
ENSG00000091140	ENSG00000140990	ENSG00000198804	
ENSG00000117118	ENSG00000130649	ENSG00000198899	
ENSG00000091140	ENSG00000125356	ENSG00000161281	
ENSG00000091140	ENSG00000170516	ENSG00000198695	
ENSG00000130649	ENSG00000154518	ENSG00000204370	
ENSG00000073578	ENSG00000124172	ENSG00000168291	
ENSG00000073578	ENSG00000168291	ENSG00000241468	
ENSG00000117118	ENSG00000124172	ENSG00000168291	
ENSG00000091140	ENSG00000165264	ENSG00000198712	
ENSG00000119711	ENSG00000168291	ENSG00000173915	
ENSG00000110955	ENSG00000119711	ENSG00000168291	
ENSG00000168291	ENSG00000173599	ENSG00000173915	
ENSG00000117118	ENSG00000168291	ENSG00000241837	
ENSG00000091483	ENSG00000099624	ENSG00000168291	
ENSG00000073578	ENSG00000099624	ENSG00000168291	
