V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
ENSG00000062485																
ENSG00000143252																
ENSG00000117118																
ENSG00000091140																
ENSG00000073578																
ENSG00000204370																
ENSG00000119689																
ENSG00000163541																
ENSG00000091483																
ENSG00000136143	ENSG00000172340															
ENSG00000105953	ENSG00000178445															
ENSG00000105953	ENSG00000140905															
ENSG00000105953	ENSG00000145020															
ENSG00000105953	ENSG00000181192	ENSG00000197444														
ENSG00000100412	ENSG00000122729	ENSG00000136381														
ENSG00000100075	ENSG00000100412	ENSG00000109576	ENSG00000122729													
ENSG00000100075	ENSG00000100412	ENSG00000122729	ENSG00000183032													
ENSG00000100075	ENSG00000100412	ENSG00000122729	ENSG00000177542	ENSG00000182902												
ENSG00000100075	ENSG00000100412	ENSG00000122729	ENSG00000138413	ENSG00000182054												
ENSG00000067829	ENSG00000101365	ENSG00000138413	ENSG00000166411	ENSG00000182054												
ENSG00000100714	ENSG00000122787	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000167325	ENSG00000178700	ENSG00000228716									
ENSG00000048392	ENSG00000100714	ENSG00000122787	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000178700	ENSG00000228716									
ENSG00000100714	ENSG00000122787	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000171848	ENSG00000178700	ENSG00000228716									
ENSG00000100714	ENSG00000112759	ENSG00000122787	ENSG00000125454	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000178700	ENSG00000228716								
ENSG00000100714	ENSG00000122787	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000178700	ENSG00000184470	ENSG00000198431	ENSG00000228716								
ENSG00000100714	ENSG00000122787	ENSG00000125454	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000178700	ENSG00000198805	ENSG00000228716								
ENSG00000100714	ENSG00000122787	ENSG00000125454	ENSG00000135929	ENSG00000138135	ENSG00000143774	ENSG00000146701	ENSG00000178700	ENSG00000228716								
ENSG00000100714	ENSG00000122787	ENSG00000125454	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000165704	ENSG00000178700	ENSG00000228716								
ENSG00000100348	ENSG00000100714	ENSG00000122787	ENSG00000135929	ENSG00000136810	ENSG00000138135	ENSG00000146701	ENSG00000178700	ENSG00000228716								
ENSG00000048392	ENSG00000100714	ENSG00000122787	ENSG00000135929	ENSG00000146701	ENSG00000178700	ENSG00000203857	ENSG00000203859	ENSG00000228716								
ENSG00000100714	ENSG00000122787	ENSG00000135929	ENSG00000146701	ENSG00000171848	ENSG00000178700	ENSG00000203857	ENSG00000203859	ENSG00000228716								
ENSG00000100714	ENSG00000122787	ENSG00000135929	ENSG00000146701	ENSG00000167325	ENSG00000178700	ENSG00000203857	ENSG00000203859	ENSG00000228716								
ENSG00000014641	ENSG00000072210	ENSG00000111716	ENSG00000134333	ENSG00000138400	ENSG00000146701	ENSG00000151116	ENSG00000166796	ENSG00000166800	ENSG00000171989							
