V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26
ENSG00000196511																									
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000196839	ENSG00000273841														
ENSG00000004455	ENSG00000048392	ENSG00000085231	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000273841														
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000167325	ENSG00000273841														
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000171848	ENSG00000273841														
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000140057	ENSG00000143753	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000168350	ENSG00000196839	ENSG00000273841													
ENSG00000004455	ENSG00000048392	ENSG00000085231	ENSG00000106992	ENSG00000140057	ENSG00000143753	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000168350	ENSG00000273841													
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000184470	ENSG00000198431	ENSG00000273841													
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162368	ENSG00000162433	ENSG00000165695	ENSG00000165704	ENSG00000166224	ENSG00000273841													
ENSG00000004455	ENSG00000085231	ENSG00000100348	ENSG00000106992	ENSG00000136810	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000273841													
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000140057	ENSG00000143753	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000168350	ENSG00000171848	ENSG00000273841													
