V1	V2	V3	V4	V5	V6
ENSG00000110619					
ENSG00000116120					
ENSG00000113643					
ENSG00000090861					
ENSG00000134440					
ENSG00000163631					
ENSG00000065427					
ENSG00000133706					
ENSG00000204394					
ENSG00000113407					
ENSG00000136628					
ENSG00000115866					
ENSG00000179115					
ENSG00000172053					
ENSG00000196305					
ENSG00000031698					
ENSG00000134684					
ENSG00000140105					
ENSG00000170445					
ENSG00000106105					
ENSG00000166986					
ENSG00000105679	ENSG00000111640	ENSG00000116459	ENSG00000163541		
ENSG00000105679	ENSG00000111640	ENSG00000116459	ENSG00000204370		
ENSG00000105679	ENSG00000111640	ENSG00000204370	ENSG00000241837		
ENSG00000105679	ENSG00000111640	ENSG00000169020	ENSG00000204370		
ENSG00000099624	ENSG00000105679	ENSG00000111640	ENSG00000204370		
ENSG00000105679	ENSG00000111640	ENSG00000154518	ENSG00000204370		
ENSG00000091483	ENSG00000105679	ENSG00000111640	ENSG00000241837		
ENSG00000073578	ENSG00000111669	ENSG00000142657	ENSG00000154518		
ENSG00000073578	ENSG00000111669	ENSG00000154518	ENSG00000177156		
ENSG00000073578	ENSG00000105679	ENSG00000111640	ENSG00000154518		
ENSG00000091483	ENSG00000099624	ENSG00000105679	ENSG00000111640		
ENSG00000110955	ENSG00000111669	ENSG00000177156	ENSG00000204370		
ENSG00000099624	ENSG00000105679	ENSG00000111640	ENSG00000117118		
ENSG00000105679	ENSG00000110955	ENSG00000111640	ENSG00000204370		
ENSG00000105679	ENSG00000111640	ENSG00000156411	ENSG00000163541		
ENSG00000105679	ENSG00000110955	ENSG00000111640	ENSG00000143252		
ENSG00000073578	ENSG00000110955	ENSG00000111669	ENSG00000177156		
ENSG00000105679	ENSG00000111640	ENSG00000124172	ENSG00000163541		
ENSG00000105679	ENSG00000111640	ENSG00000163541	ENSG00000167863		
ENSG00000105679	ENSG00000111640	ENSG00000143252	ENSG00000152234		
ENSG00000105679	ENSG00000111640	ENSG00000163541	ENSG00000241837		
ENSG00000105679	ENSG00000111640	ENSG00000135390	ENSG00000163541		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000152234		
ENSG00000105679	ENSG00000111640	ENSG00000173915	ENSG00000204370		
ENSG00000105679	ENSG00000111640	ENSG00000163541	ENSG00000167283		
ENSG00000111669	ENSG00000135390	ENSG00000163541	ENSG00000177156		
ENSG00000111669	ENSG00000154518	ENSG00000163541	ENSG00000177156		
ENSG00000105679	ENSG00000111640	ENSG00000154518	ENSG00000163541		
ENSG00000105679	ENSG00000110955	ENSG00000111640	ENSG00000163541		
ENSG00000099624	ENSG00000105679	ENSG00000111640	ENSG00000163541		
ENSG00000110955	ENSG00000111669	ENSG00000153574	ENSG00000163541		
ENSG00000099624	ENSG00000111669	ENSG00000153574	ENSG00000204370		
ENSG00000110955	ENSG00000111669	ENSG00000163541	ENSG00000177156		
ENSG00000105679	ENSG00000111640	ENSG00000152234	ENSG00000163541		
ENSG00000099624	ENSG00000105679	ENSG00000111640	ENSG00000143252		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000154723		
ENSG00000073578	ENSG00000099624	ENSG00000105679	ENSG00000111640		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000167863		
ENSG00000073578	ENSG00000105679	ENSG00000111640	ENSG00000159199		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000124172		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000173915		
ENSG00000111669	ENSG00000117118	ENSG00000142657	ENSG00000173915		
ENSG00000111669	ENSG00000117118	ENSG00000124172	ENSG00000153574		
ENSG00000111669	ENSG00000117118	ENSG00000153574	ENSG00000173915		
ENSG00000105679	ENSG00000111640	ENSG00000167863	ENSG00000204370		
ENSG00000091483	ENSG00000111669	ENSG00000153574	ENSG00000173915		
ENSG00000091483	ENSG00000105679	ENSG00000111640	ENSG00000173915		
ENSG00000105679	ENSG00000111640	ENSG00000116459	ENSG00000117118		
ENSG00000105679	ENSG00000111640	ENSG00000163541	ENSG00000241468		
ENSG00000091483	ENSG00000105679	ENSG00000111640	ENSG00000241468		
ENSG00000091483	ENSG00000105679	ENSG00000110955	ENSG00000111640		
ENSG00000091483	ENSG00000110955	ENSG00000111669	ENSG00000142657		
ENSG00000091483	ENSG00000110955	ENSG00000111669	ENSG00000153574		
ENSG00000105679	ENSG00000111640	ENSG00000135390	ENSG00000143252		
ENSG00000091483	ENSG00000105679	ENSG00000111640	ENSG00000135390		
ENSG00000105679	ENSG00000111640	ENSG00000116459	ENSG00000143252		
