V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
ENSG00000010256																			
ENSG00000111775																			
ENSG00000112695																			
ENSG00000126267																			
ENSG00000127184																			
ENSG00000140740																			
ENSG00000156467																			
ENSG00000164405																			
ENSG00000169021																			
ENSG00000173660																			
ENSG00000179091																			
ENSG00000184076																			
ENSG00000198727																			
ENSG00000131055																			
ENSG00000131143																			
ENSG00000127540																			
ENSG00000131174																			
ENSG00000135940																			
ENSG00000156885																			
ENSG00000160471																			
ENSG00000161281																			
ENSG00000164919																			
ENSG00000170516																			
ENSG00000176340																			
ENSG00000178741																			
ENSG00000187581																			
ENSG00000198712																			
ENSG00000198804																			
ENSG00000198938																			
ENSG00000167283																			
ENSG00000099624																			
ENSG00000156411																			
ENSG00000110955																			
ENSG00000154723																			
ENSG00000159199																			
ENSG00000167863																			
ENSG00000241837																			
ENSG00000198899																			
ENSG00000228253																			
ENSG00000152234																			
ENSG00000154518																			
ENSG00000173915																			
ENSG00000241468																			
ENSG00000165629																			
ENSG00000135390																			
ENSG00000124172																			
ENSG00000116459																			
ENSG00000169020																			
ENSG00000086159	ENSG00000100170	ENSG00000103375	ENSG00000115850	ENSG00000132874	ENSG00000141469	ENSG00000143595	ENSG00000161798	ENSG00000165269	ENSG00000165272	ENSG00000167580	ENSG00000171885	ENSG00000173638	ENSG00000225697	ENSG00000240583	ENSG00000259916				
ENSG00000086159	ENSG00000100170	ENSG00000103375	ENSG00000132874	ENSG00000141469	ENSG00000143595	ENSG00000161798	ENSG00000165269	ENSG00000165272	ENSG00000167580	ENSG00000170266	ENSG00000171885	ENSG00000173638	ENSG00000225697	ENSG00000240583	ENSG00000259916				
ENSG00000086159	ENSG00000100170	ENSG00000103375	ENSG00000132874	ENSG00000141469	ENSG00000143595	ENSG00000161798	ENSG00000163521	ENSG00000165269	ENSG00000165272	ENSG00000167580	ENSG00000171885	ENSG00000173638	ENSG00000225697	ENSG00000240583	ENSG00000259916				
ENSG00000086159	ENSG00000100170	ENSG00000103375	ENSG00000132874	ENSG00000141469	ENSG00000143595	ENSG00000161798	ENSG00000165269	ENSG00000165272	ENSG00000167580	ENSG00000171885	ENSG00000173638	ENSG00000188167	ENSG00000225697	ENSG00000240583	ENSG00000259916				
ENSG00000086159	ENSG00000100170	ENSG00000103375	ENSG00000113163	ENSG00000132874	ENSG00000139433	ENSG00000141469	ENSG00000143595	ENSG00000161798	ENSG00000165269	ENSG00000165272	ENSG00000167580	ENSG00000171885	ENSG00000173638	ENSG00000225697	ENSG00000240583	ENSG00000259916			
ENSG00000059804	ENSG00000086159	ENSG00000100170	ENSG00000103375	ENSG00000117394	ENSG00000132874	ENSG00000136856	ENSG00000141469	ENSG00000143595	ENSG00000161798	ENSG00000163581	ENSG00000165269	ENSG00000165272	ENSG00000167580	ENSG00000171885	ENSG00000173638	ENSG00000197496	ENSG00000225697	ENSG00000240583	ENSG00000259916
