V1	V2	V3	V4	V5	V6	V7
ENSG00000113790						
ENSG00000167969						
ENSG00000196177						
ENSG00000060971						
ENSG00000084754						
ENSG00000127884						
ENSG00000138029						
ENSG00000101986						
ENSG00000133835						
ENSG00000198721						
ENSG00000167306						
ENSG00000167315						
ENSG00000072506						
ENSG00000138796						
ENSG00000156471	ENSG00000185813					
ENSG00000134326	ENSG00000162368					
ENSG00000112759	ENSG00000162368					
ENSG00000185813	ENSG00000241878					
ENSG00000087008	ENSG00000161533					
ENSG00000117054	ENSG00000177646					
ENSG00000095321	ENSG00000157184					
ENSG00000134255	ENSG00000138018	ENSG00000156471				
ENSG00000135069	ENSG00000176974	ENSG00000185813				
ENSG00000111666	ENSG00000134255	ENSG00000185813				
ENSG00000102230	ENSG00000161217	ENSG00000185813				
ENSG00000103150	ENSG00000119711	ENSG00000204370				
ENSG00000091483	ENSG00000103150	ENSG00000116133				
ENSG00000103150	ENSG00000175198	ENSG00000198130				
ENSG00000134255	ENSG00000138018	ENSG00000241878				
ENSG00000103150	ENSG00000116133	ENSG00000143252				
ENSG00000116906	ENSG00000152642	ENSG00000167588				
ENSG00000103150	ENSG00000116133	ENSG00000175198				
ENSG00000103150	ENSG00000117118	ENSG00000198130				
ENSG00000103150	ENSG00000198130	ENSG00000204370				
ENSG00000103150	ENSG00000114054	ENSG00000198130				
ENSG00000073578	ENSG00000103150	ENSG00000198130				
ENSG00000117448	ENSG00000152642	ENSG00000167588				
ENSG00000103150	ENSG00000116133	ENSG00000204370				
ENSG00000073578	ENSG00000103150	ENSG00000116133				
ENSG00000103150	ENSG00000119711	ENSG00000175198				
ENSG00000103150	ENSG00000116133	ENSG00000117118				
ENSG00000091483	ENSG00000103150	ENSG00000198130				
ENSG00000103150	ENSG00000146085	ENSG00000198130				
ENSG00000103150	ENSG00000119711	ENSG00000146085				
ENSG00000103150	ENSG00000119711	ENSG00000143252				
ENSG00000103150	ENSG00000143252	ENSG00000198130				
ENSG00000110090	ENSG00000169169	ENSG00000205560				
ENSG00000073578	ENSG00000103150	ENSG00000119711				
ENSG00000101290	ENSG00000162368	ENSG00000163624				
ENSG00000103150	ENSG00000117118	ENSG00000119711				
ENSG00000091483	ENSG00000103150	ENSG00000119711				
ENSG00000103150	ENSG00000114054	ENSG00000116133				
ENSG00000103150	ENSG00000114054	ENSG00000119711				
ENSG00000103150	ENSG00000119711	ENSG00000124370				
ENSG00000103150	ENSG00000116133	ENSG00000146085				
ENSG00000111666	ENSG00000134255	ENSG00000138018				
ENSG00000111237	ENSG00000146733	ENSG00000176974	ENSG00000185813			
ENSG00000102230	ENSG00000134255	ENSG00000138018	ENSG00000161217			
ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000176974			
ENSG00000099810	ENSG00000135069	ENSG00000145020	ENSG00000185813			
ENSG00000100288	ENSG00000110721	ENSG00000164904	ENSG00000185813			
ENSG00000100288	ENSG00000110721	ENSG00000135929	ENSG00000185813			
ENSG00000016391	ENSG00000100288	ENSG00000110721	ENSG00000185813			
ENSG00000092621	ENSG00000134882	ENSG00000176974	ENSG00000185813			
ENSG00000091140	ENSG00000135069	ENSG00000149089	ENSG00000185813			
ENSG00000135069	ENSG00000145020	ENSG00000149089	ENSG00000185813			
ENSG00000123505	ENSG00000135069	ENSG00000145020	ENSG00000185813			
ENSG00000091140	ENSG00000123505	ENSG00000135069	ENSG00000185813			
ENSG00000091140	ENSG00000099810	ENSG00000135069	ENSG00000185813			
ENSG00000091140	ENSG00000135069	ENSG00000183044	ENSG00000185813			
ENSG00000091140	ENSG00000119711	ENSG00000135069	ENSG00000185813			
ENSG00000119711	ENSG00000135069	ENSG00000145020	ENSG00000185813			
ENSG00000135069	ENSG00000145020	ENSG00000183044	ENSG00000185813			
ENSG00000119711	ENSG00000135069	ENSG00000140905	ENSG00000185813			
ENSG00000130717	ENSG00000143179	ENSG00000162368	ENSG00000198276			
ENSG00000135069	ENSG00000149089	ENSG00000178445	ENSG00000185813			
ENSG00000135069	ENSG00000178445	ENSG00000183044	ENSG00000185813			
ENSG00000135069	ENSG00000140905	ENSG00000183044	ENSG00000185813			
